match	id_A	token_A	id_B	token_B
0	1-0	ci	1-0	ci
0	1-1	sono	1-1	sono
0	1-2	delle	1-2	delle
0	1-3	università	1-3	università
0	2-0	sì	2-0	sì
0	2-1	no	2-1	no
2	2-2	l'	2-2	le
0	2-3	università	2-3	università
0	2-4	è	2-4	è
1	2-5	un	_	_
1	2-6	po'	_	_
2	2-7	più	2-5	proprio
0	2-8	in	2-6	in
0	2-9	città	2-7	città
1	_	_	2-8	x
0	3-0	o	3-0	o
0	3-1	più	3-1	più
0	3-2	nella	3-2	nella
1	3-3	capitale	_	_
1	4-0	x	_	_
2	4-1	tutto	3-3	capita-
0	5-0	okay	4-0	okay
1	_	_	4-1	{P}
0	6-0	okay	4-2	okay
0	6-1	okay	4-3	okay
0	6-2	okay	4-4	okay
0	7-0	e	5-0	e
0	7-1	s-	5-1	s-
2	8-0	di	5-2	{P}
0	8-1	in	5-3	in
0	8-2	capitale	5-4	capitale
0	9-0	in	5-5	in
0	9-1	capitale	5-6	capitale
0	9-2	okay	5-7	okay
0	10-0	eh	5-8	eh
0	10-1	se	5-9	se
0	10-2	devi	5-10	devi
1	_	_	6-0	di
1	_	_	6-1	in
1	_	_	6-2	capitale
0	11-0	però	7-0	però
0	12-0	posso	8-0	posso
0	12-1	anche	8-1	anche
0	13-0	vabbè	9-0	vabbè
0	13-1	adesso	9-1	adesso
0	13-2	faccio	9-2	faccio
0	13-3	finire	9-3	finire
1	_	_	9-4	qui
0	14-0	sì	10-0	sì
0	15-0	x	11-0	x
1	_	_	11-1	così
1	_	_	11-2	che
1	_	_	11-3	ci
1	_	_	11-4	vengono
0	16-0	sta	12-0	sta
0	16-1	andando	12-1	andando
0	16-2	abbastanza	12-2	abbastanza
0	16-3	bene	12-3	bene
0	16-4	no	12-4	no
0	17-0	sì	13-0	sì
0	18-0	proviamo	14-0	proviamo
1	18-1	a	_	_
0	18-2	vedere	14-1	vedere
0	18-3	se	14-2	se
1	19-0	x	_	_
0	20-0	allora	15-0	allora
0	20-1	dimmi	15-1	dimmi
0	20-2	la	15-2	la
0	20-3	capitale	15-3	capitale
0	20-4	è	15-4	è
0	20-5	molto	15-5	molto
0	20-6	grande	15-6	grande
0	21-0	la	16-0	la
0	21-1	capitale	16-1	capitale
0	21-2	è	16-2	è
0	21-3	molto	16-3	molto
0	21-4	grande	16-4	grande
1	_	_	16-5	{P}
2	21-5	eh	16-6	e
0	21-6	trecentosei	16-7	trecentosei
0	21-7	virgola	16-8	virgola
0	21-8	quattro	16-9	quattro
0	21-9	eh	16-10	eh
2	22-0	chilometri	16-11	kilometri
0	22-1	quadrati	16-12	quadrati
0	23-0	okay	17-0	okay
0	23-1	e	17-1	e
0	23-2	popolazione	17-2	popolazione
0	24-0	in	18-0	in
0	25-0	eh	19-0	eh
0	26-0	quattordici	19-1	quattordici
0	26-1	milioni	19-2	milioni
1	27-0	eh	_	_
0	28-0	quattordici	19-3	quattordici
0	28-1	punto	19-4	punto
0	28-2	quattro	19-5	quattro
0	28-3	milioni	19-6	milioni
1	_	_	20-0	eh
0	29-0	cioè	21-0	cioè
0	29-1	bologna	21-1	bologna
0	29-2	è	21-2	è
