match	id_A	token_A	id_B	token_B
0	1-0	persone	1-0	persone
0	1-1	che	1-1	che
0	1-2	magari	1-2	magari
2	1-3	puoi	1-3	prima
2	1-4	avere	1-4	avevi
0	1-5	incontrato	1-5	incontrato
0	1-6	un	1-6	un
0	1-7	po'	1-7	po'
2	2-0	ah	2-0	mh
0	3-0	bah	3-0	bah
1	_	_	3-1	eh
2	3-1	ehm	4-0	ci
2	4-0	c-	4-1	son-
0	4-1	è	4-2	è
0	4-2	sempre	4-3	sempre
0	4-3	pieno	4-4	pieno
0	4-4	di	4-5	di
0	4-5	persone	4-6	persone
0	4-6	che	4-7	che
0	4-7	fanno	4-8	fanno
1	4-8	l'	_	_
0	4-9	elemosina	4-9	elemosina
0	4-10	sotto	4-10	sotto
0	4-11	i	4-11	i
0	4-12	portici	4-12	portici
0	5-0	mhmh	5-0	mhmh
0	6-0	soprattutto	6-0	soprattutto
0	6-1	su	6-1	su
0	6-2	via	6-2	via
0	6-3	indipendenza	6-3	indipendenza
0	6-4	ce	6-4	ce
0	6-5	ne	6-5	ne
0	6-6	sono	6-6	sono
0	6-7	diversi	6-7	diversi
1	7-0	sì	_	_
1	7-1	è	_	_
2	7-2	vero	7-0	seriamente
0	8-0	anche	8-0	anche
0	8-1	sotto	8-1	sotto
0	8-2	i	8-2	i
0	8-3	portici	8-3	portici
0	8-4	di	8-4	di
0	8-5	via	8-5	via
2	9-0	il	9-0	in
0	9-1	viale	9-1	viale
0	10-0	mh	10-0	mh
0	10-1	masini	10-1	masini
0	11-0	perché	11-0	perché
0	11-1	io	11-1	io
0	11-2	passo	11-2	passo
1	11-3	s-	_	_
0	11-4	spesso	11-3	spesso
0	11-5	di	11-4	di
0	11-6	lì	11-5	lì
2	12-0	ehm	12-0	eh
0	13-0	però	13-0	però
0	13-1	a	13-1	a
0	13-2	parte	13-2	parte
2	13-3	insomma	13-3	sono
0	13-4	persone	13-4	persone
2	14-0	mhmh	13-5	{P}
0	15-0	che	13-6	che
0	15-1	fanno	13-7	fanno
0	15-2	l'	13-8	l'
0	15-3	elemosina	13-9	elemosina
0	15-4	sì	13-10	sì
1	_	_	14-0	mhmh
0	16-0	mh	15-0	mh
0	16-1	ah	15-1	ah
0	16-2	incontri	16-0	incontri
0	16-3	anche	16-1	anche
1	_	_	16-2	a
2	16-4	molte	16-3	volte
0	16-5	persone	16-4	persone
0	16-6	che	16-5	che
0	16-7	ti	16-6	ti
0	16-8	fermano	16-7	fermano
0	16-9	per	16-8	per
1	_	_	17-0	sì
2	17-0	ti	17-1	{ride}
2	17-1	chiedono	18-0	x
0	17-2	di	18-1	di
0	17-3	fare	18-2	fare
1	17-4	beneficenza	_	_
1	17-5	{ride}	_	_
2	18-0	sì	18-3	beneficienza
0	18-1	{ride}	18-4	{ride}
0	18-2	esatto	19-0	esatto
0	19-0	{ride}	20-0	{ride}
0	19-1	le	21-0	le
0	19-2	classiche	21-1	classiche
0	19-3	persone	21-2	persone
0	19-4	che	21-3	che
0	19-5	sono	21-4	sono
0	19-6	sotto	21-5	sotto
0	19-7	i	21-6	i
0	19-8	portici	21-7	portici
2	20-0	ehm	22-0	eh
0	20-1	a	23-0	a
0	20-2	volte	23-1	volte
1	_	_	23-2	{P}
0	21-0	persone	23-3	persone
0	21-1	famose	23-4	famose
0	21-2	ogni	23-5	ogni
0	21-3	tanto	23-6	tanto
0	21-4	una	23-7	una
0	21-5	volta	23-8	volta
0	21-6	ho	23-9	ho
0	21-7	incontrato	23-10	incontrato
0	21-8	pif	23-11	pif
0	21-9	ad	23-12	ad
0	21-10	esempio	23-13	esempio
1	22-0	ah	_	_
0	22-1	ah	24-0	ah
2	22-2	sì	24-1	si
2	22-3	sì	24-2	si
2	22-4	sì	24-3	si
0	23-0	eh	25-0	eh
1	_	_	25-1	si
0	23-1	che	25-2	che
2	23-2	ha	25-3	era
0	23-3	un	25-4	un
0	23-4	hotel	25-5	hotel
0	23-5	che	25-6	che
0	23-6	è	25-7	è
0	23-7	lì	25-8	lì
0	23-8	su	25-9	su
0	23-9	via	25-10	via
0	23-10	indipendenza	25-11	indipendenza
0	24-0	anche	26-0	anche
0	24-1	cremonini	26-1	cremonini
0	24-2	dicono	26-2	dicono
0	24-3	che	26-3	che
1	24-4	si	_	_
2	24-5	aspetta	26-4	sia
2	25-0	cremoni-	26-5	spetto
2	25-1	è	27-0	eh
0	25-2	non	27-1	non
0	25-3	l'	27-2	l'
0	25-4	ho	27-3	ho
0	25-5	ancora	27-4	ancora
0	25-6	incontrato	27-5	incontrato
0	25-7	cremonini	27-6	cremonini
0	25-8	{ride}	27-7	{ride}
1	26-0	x	_	_
0	26-1	neanche	28-0	neanche
0	26-2	io	28-1	io
2	26-3	ohi	28-2	mai
0	27-0	però	29-0	però
1	_	_	29-1	ho
2	27-1	veramente	29-2	detto
0	27-2	sì	29-3	sì
0	27-3	tre	29-4	tre
0	27-4	anni	29-5	anni
0	27-5	perché	29-6	perché
0	27-6	io	29-7	io
1	_	_	29-8	ci
1	_	_	29-9	andavo
2	27-7	sono	29-10	nel
2	27-8	dal	29-11	duemila
2	28-0	duemiladiciotto	29-12	diciotto
0	28-1	diciannove	29-13	diciannove
1	28-2	ve-	_	_
0	28-3	sì	29-14	sì
0	28-4	tre	29-15	tre
0	28-5	anni	29-16	anni
0	28-6	che	29-17	che
0	28-7	sono	29-18	sono
0	28-8	lì	29-19	lì
1	28-9	e	_	_
0	28-10	non	29-20	non
0	28-11	ho	29-21	ho
0	28-12	ancora	29-22	ancora
2	28-13	incrociato	29-23	x
2	28-14	cremoni-	29-24	quindi
0	28-15	{ride}	29-25	{ride}
2	29-0	beh	30-0	vabbé
0	29-1	magari	30-1	magari
0	29-2	dai	30-2	dai
0	29-3	quest'	30-3	quest'
0	29-4	anno	30-4	anno
0	29-5	sarà	30-5	sarà
1	_	_	30-6	{ride}
0	29-6	l'	30-7	l'
0	29-7	anno	30-8	anno
0	29-8	buono	30-9	buono
2	30-0	ma	31-0	ah
0	30-1	sì	31-1	sì
0	30-2	chissà	31-2	chissà
2	30-3	infatti	32-0	allora
2	30-4	infatti	32-1	perfetto
0	31-0	e	33-0	e
0	31-1	anche	33-1	anche
0	31-2	mh	33-2	mh
1	_	_	33-3	{P}
0	32-0	per	33-4	per
0	32-1	il	33-5	il
0	32-2	fatto	33-6	fatto
0	32-3	che	33-7	che
0	32-4	hanno	33-8	hanno
0	32-5	messo	33-9	messo
0	32-6	le	33-10	le
0	32-7	luci	33-11	luci
0	32-8	con	33-12	con
0	32-9	le	33-13	le
0	32-10	scritte	33-14	scritte
0	32-11	delle	33-15	delle
0	32-12	canzoni	33-16	canzoni
