match	id_A	token_A	id_B	token_B
0	1-0	ci	1-0	ci
0	1-1	sono	1-1	sono
0	1-2	delle	1-2	delle
0	1-3	università	1-3	università
0	2-0	sì	2-0	sì
0	2-1	no	2-1	no
1	_	_	2-2	è
1	_	_	2-3	vero
2	2-2	l'	2-4	in
2	2-3	università	2-5	città
2	2-4	è	2-6	e
0	2-5	un	2-7	un
0	2-6	po'	2-8	po'
0	2-7	più	2-9	più
0	2-8	in	2-10	in
0	2-9	città	2-11	città
1	_	_	2-12	c'
1	_	_	2-13	è
2	3-0	o	2-14	tutto
0	3-1	più	3-0	più
0	3-2	nella	3-1	nella
1	3-3	capitale	_	_
1	4-0	x	_	_
2	4-1	tutto	3-2	capital-
2	5-0	okay	4-0	ok
2	6-0	okay	4-1	{P}
2	6-1	okay	4-2	ok
2	6-2	okay	4-3	ok
0	7-0	e	4-4	e
1	7-1	s-	_	_
0	8-0	di	5-0	di
2	8-1	in	5-1	em
0	8-2	capitale	5-2	capitale
0	9-0	in	6-0	in
0	9-1	capitale	6-1	capitale
2	9-2	okay	6-2	ok
2	10-0	eh	6-3	e
0	10-1	se	6-4	se
0	10-2	devi	6-5	devi
1	_	_	6-6	son
2	11-0	però	6-7	che
2	12-0	posso	7-0	suono
2	12-1	anche	7-1	ni..
0	13-0	vabbè	8-0	vabbè
0	13-1	adesso	8-1	adesso
0	13-2	faccio	8-2	faccio
0	13-3	finire	8-3	finire
1	14-0	sì	_	_
1	15-0	x	_	_
2	16-0	sta	9-0	si
2	16-1	andando	10-0	andava
0	16-2	abbastanza	10-1	abbastanza
0	16-3	bene	10-2	bene
0	16-4	no	10-3	no
0	17-0	sì	11-0	sì
0	18-0	proviamo	12-0	proviamo
0	18-1	a	12-1	a
0	18-2	vedere	12-2	vedere
0	18-3	se	12-3	se
2	19-0	x	12-4	em
0	20-0	allora	13-0	allora
0	20-1	dimmi	13-1	dimmi
0	20-2	la	13-2	la
0	20-3	capitale	13-3	capitale
0	20-4	è	13-4	è
0	20-5	molto	13-5	molto
0	20-6	grande	13-6	grande
0	21-0	la	14-0	la
0	21-1	capitale	14-1	capitale
1	21-2	è	_	_
0	21-3	molto	14-2	molto
0	21-4	grande	14-3	grande
1	_	_	14-4	e
2	21-5	eh	14-5	trecento
2	21-6	trecentosei	14-6	sei
0	21-7	virgola	14-7	virgola
0	21-8	quattro	14-8	quattro
2	21-9	eh	14-9	e
0	22-0	chilometri	14-10	chilometri
0	22-1	quadrati	14-11	quadrati
2	23-0	okay	15-0	ok
0	23-1	e	15-1	e
0	23-2	popolazione	15-2	popolazione
0	24-0	in	16-0	in
2	25-0	eh	17-0	e
0	26-0	quattordici	17-1	quattordici
0	26-1	milioni	17-2	milioni
2	27-0	eh	17-3	{P}
0	28-0	quattordici	17-4	quattordici
0	28-1	punto	17-5	punto
0	28-2	quattro	17-6	quattro
0	28-3	milioni	17-7	milioni
1	_	_	18-0	eh
1	_	_	19-0	ceh
2	29-0	cioè	19-1	a
0	29-1	bologna	19-2	bologna
0	29-2	è	19-3	è
1	_	_	19-4	trecento
1	_	_	19-5	cinquantacinque
2	29-3	trecentocinquantamila	19-6	mila
0	29-4	persone	19-7	persone
