tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	SP1	0.37	3.27	2.9	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 persone che magari puoi avere incontrato [un po':]	persone che magari puoi avere incontrato [un po':]	persone che magari puoi avere incontrato un po'
1	SP2	2.65	3.27	0.62	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [m:h]	[m:h]	mh
2	SP2	3.77	4.903	1.133	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 bah e:h	bah e:h	bah eh
3	SP2	5.43	9.07	3.64	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	 si cioè è sempre pieno di:persone che fanno l'elemosina sotto i [portici]	si cioè è sempre pieno di:persone che fanno l'elemosina sotto i [portici]	si cioè è sempre pieno dipersone che fanno l' elemosina sotto i portici
4	SP1	8.7	9.188	0.488	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [mh]mh	[mh]mh	mhmh
5	SP2	9.849	12.67	2.821	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	 soprattutto su via indipendenza: ce ne sono [diversi]	soprattutto su via indipendenza: ce ne sono [diversi]	soprattutto su via indipendenza ce ne sono diversi
6	SP1	12.072	12.67	0.598	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	 [sì è vero]	[sì è vero]	sì è vero
7	SP2	13.564	15.424	1.86	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 anche sotto i portici di via:	anche sotto i portici di via:	anche sotto i portici di via
8	SP2	15.969	17.059	1.09	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 di viale:	di viale:	di viale
9	SP2	18.21	19.29	1.08	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	 m:h masini	m:h masini	mh masini
10	SP2	19.82	20.94	1.12	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	 perché io passo spesso di lì	perché io passo spesso di lì	perché io passo spesso di lì
11	SP2	22.02	22.724	0.704	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 e:h	e:h	eh
12	SP2	24.4	32.13	7.73	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	19	 però apparte insomma persone: che [fanno] l'elemosina: sì m:h a:h incontri anche molte persone che ti fermano per	però apparte insomma persone: che [fanno] l'elemosina: sì m:h a:h incontri anche molte persone che ti fermano per	però apparte insomma persone che fanno l' elemosina sì mh ah incontri anche molte persone che ti fermano per
13	SP1	26.43	26.719	0.289	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 [mhmh]	[mhmh]	mhmh
14	SP1	32.165	32.454	0.289	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	 sì	sì	sì
15	SP2	32.49	37.425	4.935	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	13	 per chiederti di fare [beneficienza] {ride} le classiche persone che sono sotto ai portici	per chiederti di fare [beneficienza] {ride} le classiche persone che sono sotto ai portici	per chiederti di fare beneficienza {ride} le classiche persone che sono sotto ai portici
16	SP1	32.5	33.979	1.479	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	1	 {ride} [esatto]	{ride} [esatto]	{ride} esatto
17	SP2	38.542	43.628	5.086	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	15	 e:h m:h a volte persone famose ogni tanto una volta ho incontrato piff ad esempi[o:]	e:h m:h a volte persone famose ogni tanto una volta ho incontrato piff ad esempi[o:]	eh mh a volte persone famose ogni tanto una volta ho incontrato piff ad esempio
18	SP1	42.85	44.506	1.656	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	 [ah ah ah] sìsìsì	[ah ah ah] sìsìsì	ah ah ah sìsìsì
19	SP2	44.58	47.49	2.91	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	 e:h x un hotel che è lì su via indipenden[za]	e:h x un hotel che è lì su via indipenden[za]	eh x un hotel che è lì su via indipendenza
20	SP1	47.23	51.82	4.59	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	 [anche] cremonini dicono che [(si aspetti) x neanche io mai]	[anche] cremonini dicono che [(si aspetti) x neanche io mai]	anche cremonini dicono che si aspetti x neanche io mai
21	SP2	48.82	52.04	3.22	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	8	 [cremoni- e:h] non l'ho ancora incontrato cremonini {ride}	[cremoni- e:h] non l'ho ancora incontrato cremonini {ride}	cremoni- eh non l' ho ancora incontrato cremonini {ride}
